"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"HP_HYPERINSULINEMIC_HYPOGLYCEMIA.X[[i]]","APPL1","GCK","PDX1","ABCC8","HADH","KCNJ11","GLUD1","UCP2","CEL","TRMT10A","NEUROD1","MPI","HNF4A","SLC16A1","CDKN1B","HNF1A","INSR","INS","KLF11","PAX4","MEN1","MAFA","BLK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_INSULIN_RESISTANT_DIABETES_MELLITUS.X[[i]]","XRCC4","INSR","ZMPSTE24","KCNJ11","HYMAI","GATA6","STAT3","PPARG","ZFP57","EIF2AK3","LEP","HNF1A","INS","CNOT1","KLF11","BSCL2","PAX4","ABCC8","PLIN1","AGPAT2","PLAGL1","APPL1","GCK","PDX1","AKT2","LMNA","PTF1A","CIDEC","PIK3R1","NSMCE2","CEL","NEUROD1","HNF4A","ALMS1","LEPR","DCAF17","BLK","LIPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_INSULIN_RESISTANCE.X[[i]]","INSR","PPARG","CYP19A1","ALMS1","KCNJ11","PMM2","CAVIN1","STAT3","EIF2AK3","LEP","PPP1R3A","HNF1A","ADCY3","ENPP1","INS","KLF11","ABCC8","AKT2","BSCL2","PAX4","PLIN1","PIK3R1","HNF4A","POLD1","PLAGL1","CEP19","NEUROD1","GCK","SLC2A2","ZFP57","PDX1","RETN","DBH","CAV1","WFS1","CIDEC","CEL","HYMAI","LMNA","ZMPSTE24","DCAF17","TCF7L2","IRS1","AGPAT2","LIPE","XRCC4","IRS2","DMPK","HSD3B2","IGF1","GATA6","HSD11B1","CLCNKB","GPD2","LMNB2","CNOT1","NSMCE2","MAPK8IP1","LIPC","APPL1","FOS","IL6","SLC12A3","IGFALS","PTF1A","SLC30A8","MTNR1B","HMGA1","IGF2BP2","PTPN1","LEPR","HNF1B","BLM","BLK","MFN2","WRN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_GLUCOSE_INTOLERANCE.X[[i]]","RNASEH2B","RHO","STAT1","CLIP2","NDUFS4","UBR1","PPARG","WFS1","POLA1","SMPD4","MT-TS2","IL2RA","INS","EYS","MT-CO3","CFTR","STAT3","TTPA","NDUFV1","SIX3","TRMT10A","SAMHD1","RP2","RPGR","RTEL1","PRPF4","PDE6B","ABCC8","AKT2","MT-ND1","SLC19A2","MLXIPL","CTNS","PLCD1","HFE","SAG","PRKACA","MAGEL2","NEUROD1","KCNJ11","PSTPIP1","MT-TF","PDX1","IFT140","MT-TK","CTNNB1","NSD1","BLK","NRL","SNRPN","DISP1","SLC29A3","PSMB8","CTRC","MT-TE","GTF2I","PIK3R1","HYMAI","NDUFB10","DNAJC3","IL18BP","C8orf37","NDN","MT-CO1","MT-ND2","BSCL2","PALLD","NODAL","TCF7L2","PDE4D","GATA3","ARL2BP","RP1","AR","MOG","TBL2","MT-ND5","POLG2","AHI1","FXN","KLF11","MT-TC","ZMPSTE24","POMGNT1","CLRN1","LHX1","GAS1","NDUFAF2","ZFP57","GPD2","CASR","PRSS1","PPP1R15B","HERC2","MT-ND6","CARS1","HNF1A","GLRX5","NDUFA1","PWAR1","PAX4","MT-ND3","APPL1","LIMK1","XRCC4","IL6","SLC40A1","ZNF513","GCK","NDUFAF3","AIRE"
"HP_FASTING_HYPERINSULINEMIA.X[[i]]","CDKN1B","MEN1","INSR","LMNA","HADH","GLUD1","GCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_ABNORMAL_CIRCULATING_CARBOHYDRATE_CONCENTRATION.X[[i]]","GALT","NDUFA11","NDUFS4","NDUFB9","PDHX","DCXR","NDUFAF1","LIPT2","COX6A2","TWNK","NDUFAF4","LONP1","ITPR3","NDUFS7","BCS1L","UQCRC2","TIMMDC1","NDUFAF2","HNF1A","SLC25A26","NDUFV1","FOXRED1","POLG","GALM","MT-TK","AIFM1","NDUFS6","MT-TF","NDUFA1","TMEM126B","MT-ND3","TKT","NDUFAF5","PTPN22","GALE","NDUFS1","MT-TL1","NDUFS8","MT-TI","NDUFAF3","SORD","NDUFS3","PC","PDHA1","NDUFAF8","GALK1","SLC25A13","NDUFB11","NDUFB3","NDUFB10","ACAT2","MT-ND2","IL6","MPC1","NDUFA6","PNPLA8","NUBPL","RPIA","MECP2","MT-ND1","NDUFV2","COX10","MT-TP","NDUFS2","LDHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_ABNORMAL_GLUCOSE_HOMEOSTASIS.X[[i]]","RHO","CLIP2","NDUFS4","UBR1","CYP11A1","WFS1","MC4R","INS","HESX1","KDM6A","MT-CO3","CFTR","BCS1L","NDUFV1","SIX3","RTEL1","MTOR","MMACHC","HNF1A","AKT2","HNF4A","CTNS","PLCD1","PREPL","SAG","POGZ","PAK1","MAGEL2","NEUROD1","KCNJ11","PSTPIP1","MT-TF","IFT140","OTC","MT-TK","CTNNB1","SNRPN","DISP1","ROBO1","SLC29A3","IGFALS","CTRC","ABCC8","MT-TE","PIK3R1","HYMAI","PPM1B","IL18BP","C8orf37","NDN","BSCL2","NODAL","TCF7L2","TANGO2","PHKA2","GATA3","RP1","MOG","TBL2","LHX4","MT-ND5","SLC19A2","POLG2","AHI1","FXN","PROP1","NFKB2","G6PC","KLF11","AGL","GABRA3","ZMPSTE24","GFM2","GAS1","MTO1","HSD11B1","GPD2","SLC34A1","HERC2","MT-ND6","CARS1","GATC","GLRX5","NDUFA1","PAX4","LIMK1","SHPK","ZNF513","SLC30A8","MT-TL1","GJA1","PCARE","CORIN","NNT","DCAF17","GCK","COG7","GLI2","PCCB","PROK2","ODC1","MT-CO1","NPAP1","BLM","DKC1","SNORD116-1","COX10","SLC1A1","WRN","SPINK1","HMGCL"
"HP_ABNORMAL_BLOOD_GLUCOSE_CONCENTRATION.X[[i]]","NDUFA11","SLC37A4","NDUFS4","INSR","CYP11A1","PCK1","PROP1","INS","ACADM","HESX1","GLUD1","KDM6A","PPP1R15B","UQCRC2","KCNJ11","BCS1L","STAT3","LHX4","TIMMDC1","HNF1A","NDUFV1","GCDH","TRMT10A","CPT1A","NDUFS6","MTOR","MMACHC","SLC16A1","PCCA","CYB561","ABCC8","DBH","DMXL2","PYGL","HNF4A","POU1F1","MCCC2","AKT2","PREPL","SGPL1","POGZ","PPP2R5D","PAK1","STAT6","PDX1","ACADVL","OTC","ROBO1","MRAP","HADHA","FOXRED1","TBX19","ITGA8","ETFB","PNPO","PC","PTEN","PIK3R1","HFE","PPM1B","NDUFB10","WARS2","ACAD8","MT-ND2","LMNA","NR1H4","CYP21A2","MRPS7","MEN1","TANGO2","MT-ND1","PHKA2","HYMAI","SLC3A1","GPC3","ARMC5","GPR161","FBP1","MCCC1","HSD3B2","KCNE3","IGF1","NFKB2","G6PC","HADHB","FGF20","AGL","GABRA3","ZMPSTE24","GFM2","CAMKMT","MTO1","NDUFAF2","ZFP57","PCK2","RIMS2","MLYCD","SLC34A1","NDUFAF6","CPT2","GHR","RET","GATC","PHKG2","GHSR","PET100","PRKAG2","NDUFA1","CDON","HRAS","MT-ND3"
"HP_ABNORMAL_URINE_CARBOHYDRATE_LEVEL.X[[i]]","MAN2B1","GALT","KRT8","MIR140","TKT","OCRL","DCXR","KRT18","FBP1","GALE","KRAS","MANBA","SNX14","GALK1","SLC25A13","STK11","TTC37","GK","NEU1","FUCA1","TP53","RPIA","GAA","SMAD4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP_ABNORMAL_INSULIN_LEVEL.X[[i]]","RHO","CRB1","ARL6","INSR","SLC7A14","PPARG","MC4R","ABCC8","INS","SNRNP200","GLUD1","KIAA1549","TOPORS","EYS","NEK2","ALMS1","PMM2","CAVIN1","SPATA7","SLC16A1","CDKN1B","PRPF3","CERKL","LEP","PRCD","HNF1A","SEMA4A","RP2","IFT88","RPGR","PRPF4","IDH3A","SIM1","KLF11","CNGB1","SH2B1","MKRN3","PDE6B","HADH","SNORD115-1","BSCL2","PAX4","RDH12","HNF4A","ESR1","RNF125","PLIN1","SAG","DIS3L2","STAT6","RGR","GCK","TULP1","IMPDH1","DBH","IFT140","DHX38","BBS2","NRL","IFT172","CAV1","DMXL2","SCAPER","CEL","GALK1","MPI","TTC8","RLBP1","C8orf37","CNGA1","PDE6A","NR2E3","KIZ","LMNA","RP1L1","DCAF17","MEN1","MAFA","AGPAT2","ARL2BP","RP1","KLHL7","PRPH2","REEP6","DMPK","AHI1","LRAT","ARL3","ZMPSTE24","POMGNT1","CLRN1","GUCA1B","UCP2","IDH3B","CRX","USH2A","HYMAI","PWRN1","RPE65","AGBL5","TUB","ZFP57","KCNJ11","BEST1","ARHGEF18","HERC2","PRPF31","FAM161A","CDHR1","PRPF6","NDN"
