pathway,protein_num,coverage
SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP,6,0.15384615384615385
CUI_GLUCOSE_DEPRIVATION,12,0.3076923076923077
WP_INSULIN_SIGNALING,7,0.1794871794871795
WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULINLIKE_GROWTH_FACTOR_IGF1AKT_SIGNALING,11,0.28205128205128205
WP_GLYCOGEN_SYNTHESIS_AND_DEGRADATION,13,0.3333333333333333
MOOTHA_GLYCOGEN_METABOLISM,7,0.1794871794871795
BIOCARTA_INSULIN_PATHWAY,6,0.15384615384615385
KEGG_INSULIN_SIGNALING_PATHWAY,13,0.3333333333333333
PID_INSULIN_PATHWAY,12,0.3076923076923077
PID_INSULIN_GLUCOSE_PATHWAY,11,0.28205128205128205
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,18,0.46153846153846156
REACTOME_INSULIN_PROCESSING,13,0.3333333333333333
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,13,0.3333333333333333
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,22,0.5641025641025641
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,15,0.38461538461538464
REACTOME_REGULATION_OF_INSULIN_SECRETION,23,0.5897435897435898
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,6,0.15384615384615385
REACTOME_GLUCOSE_METABOLISM,18,0.46153846153846156
REACTOME_METABOLISM_OF_CARBOHYDRATES,12,0.3076923076923077
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,7,0.1794871794871795
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR,12,0.3076923076923077
REACTOME_INSULIN_RECEPTOR_RECYCLING,12,0.3076923076923077
REACTOME_GLYCOGEN_METABOLISM,8,0.20512820512820512
