"","x"
"1","HP_HYPERINSULINEMIC_HYPOGLYCEMIA"
"2","HP_INSULIN_RESISTANT_DIABETES_MELLITUS"
"3","HP_INSULIN_RESISTANCE"
"4","HP_GLUCOSE_INTOLERANCE"
"5","HP_FASTING_HYPERINSULINEMIA"
"6","HP_ABNORMAL_CIRCULATING_CARBOHYDRATE_CONCENTRATION"
"7","HP_ABNORMAL_GLUCOSE_HOMEOSTASIS"
"8","HP_ABNORMAL_BLOOD_GLUCOSE_CONCENTRATION"
"9","HP_ABNORMAL_URINE_CARBOHYDRATE_LEVEL"
"10","HP_ABNORMAL_INSULIN_LEVEL"
"11","HP_HYPOINSULINEMIA"
"12","HP_IMPAIRED_GLUCOSE_TOLERANCE"
"13","GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS"
"14","GOBP_CARBOHYDRATE_METABOLIC_PROCESS"
"15","GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS"
"16","GOBP_GLUCOSE_METABOLIC_PROCESS"
"17","GOBP_GLUCOSE_CATABOLIC_PROCESS"
"18","GOBP_UDP_GLUCOSE_METABOLIC_PROCESS"
"19","GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS"
"20","GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY"
"21","GOBP_CARBOHYDRATE_TRANSPORT"
"22","GOBP_RESPONSE_TO_CARBOHYDRATE"
"23","GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS"
"24","GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS"
"25","GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT"
"26","GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT"
"27","GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT"
"28","GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS"
"29","GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS"
"30","GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS"
"31","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS"
"32","GOBP_INSULIN_SECRETION"
"33","GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION"
"34","GOBP_RESPONSE_TO_INSULIN"
"35","GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS"
"36","GOBP_CARBOHYDRATE_HOMEOSTASIS"
"37","GOBP_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT"
"38","GOBP_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS"
"39","GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS"
"40","GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS"
"41","GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION"
"42","GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS"
"43","GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS"
"44","GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS"
"45","GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS"
"46","GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS"
"47","GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS"
"48","GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS"
"49","GOBP_GLUCOSE_IMPORT"
"50","GOBP_REGULATION_OF_GLUCOSE_IMPORT"
"51","GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT"
"52","GOBP_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT"
"53","GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY"
"54","GOBP_CARBOHYDRATE_PHOSPHORYLATION"
"55","GOBP_PHOSPHORYLATED_CARBOHYDRATE_DEPHOSPHORYLATION"
"56","GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY"
"57","GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS"
"58","GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS"
"59","GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS"
"60","GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS"
"61","GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS"
"62","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS"
"63","GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS"
"64","GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS"
"65","GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS"
"66","GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS"
"67","GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT"
"68","GOBP_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY"
"69","GOCC_INSULIN_RESPONSIVE_COMPARTMENT"
"70","GOCC_GLYCOGEN_GRANULE"
"71","GOMF_INSULIN_RECEPTOR_BINDING"
"72","GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING"
"73","GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING"
"74","GOMF_CARBOHYDRATE_KINASE_ACTIVITY"
"75","GOMF_CARBOHYDRATE_BINDING"
"76","GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING"
"77","GOMF_CARBOHYDRATE_DERIVATIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
