yourlist:M202107026320BA52A5CE8FCD097CB85A53697A350ADA8BD	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Ddx3x	O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
Gpx1	P07203	GPX1_HUMAN	reviewed	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)	GPX1	Homo sapiens (Human)	203
Tpp1	O14773	TPP1_HUMAN	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
Tpp1	P49638	TTPA_HUMAN	reviewed	Alpha-tocopherol transfer protein (Alpha-TTP)	TTPA TPP1	Homo sapiens (Human)	278
Tpp1	Q96AP0	ACD_HUMAN	reviewed	Adrenocortical dysplasia protein homolog (POT1 and TIN2-interacting protein)	ACD PIP1 PTOP TINT1 TPP1	Homo sapiens (Human)	458
Txnrd1	Q16881	TRXR1_HUMAN	reviewed	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Thioredoxin reductase TR1)	TXNRD1 GRIM12 KDRF	Homo sapiens (Human)	649
Hsp90aa1	P07900	HS90A_HUMAN	reviewed	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732
Cnp	P09543	CN37_HUMAN	reviewed	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	CNP	Homo sapiens (Human)	421
Oxnad1	Q96HP4	OXND1_HUMAN	reviewed	Oxidoreductase NAD-binding domain-containing protein 1 (EC 1.-.-.-)	OXNAD1	Homo sapiens (Human)	312
Sarnp	P82979	SARNP_HUMAN	reviewed	SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)	SARNP HCC1 HSPC316	Homo sapiens (Human)	210
Sh3glb1	Q9Y371	SHLB1_HUMAN	reviewed	Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)	SH3GLB1 KIAA0491 CGI-61	Homo sapiens (Human)	365
Tufm	P49411	EFTU_HUMAN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	452
Lrrc47	Q8N1G4	LRC47_HUMAN	reviewed	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	Homo sapiens (Human)	583
Hook3	Q86VS8	HOOK3_HUMAN	reviewed	Protein Hook homolog 3 (h-hook3) (hHK3)	HOOK3	Homo sapiens (Human)	718
Acsl3	O95573	ACSL3_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
Hsp90ab1	P08238	HS90B_HUMAN	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724
Hspa4	P34932	HSP74_HUMAN	reviewed	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)	HSPA4 APG2	Homo sapiens (Human)	840
